"According to Hippocrates, why is it vital to know the 'sort of person' who has a disease?",It is more important than knowing the 'sort of disease' the person has.
What was the primary goal of the 'patient-as-a-person' movement that emerged in the 1880s?,To treat the patient with psychological support as a 'person' rather than just a 'case of disease'.
How did William Osler distinguish between a 'good physician' and a 'great physician'?,"The good physician treats the disease, while the great physician treats the patient who has the disease."
"According to Dr. Francis Weld Peabody (1927), what is the 'secret' of patient care?",The secret of the care of the patient is in caring for the patient.
"In the 'patient-as-a-person' movement, what specific clinical activity allowed doctors to establish an emotional rapport?",Long and careful history-taking during the consultation.
What did Hermann Nothnagel emphasize in his 1882 inaugural lecture regarding the focus of medicine?,He stated that medicine is about treating sick people rather than treating diseases.
How does the 'doctor as a healer' differ from the 'doctor as a body technician' in modern medical critiques?,"The healer relates to the patient on a spiritual and human level, while the technician treats the body as a malfunctioning biological mechanism."
Which essential quality did Dr. Francis Weld Peabody claim is necessary for a clinician to maintain interest in humanity?,"The willingness to lavishly dispense time, sympathy, and understanding."
What risk does 'materialist reductionism' pose to the patient-doctor relationship?,"It reduces patients to biopsies and lab tests, ignoring the individual sufferer's values and ends."
What is the therapeutic significance of the 'personal bond' in clinical medicine?,It forms the greatest satisfaction of medical practice and is an inherent part of the healing process.
How did Daniel Cathell's 1924 guide advise doctors to handle 'Mrs. Chatterbox' or 'Mr. Lengthy'?,"To endure and listen with respectful attention, allowing them to tell their stories in their own way."
William Houston (1936) argued that 'psychological treatment' distinguishes a doctor from what other profession?,A veterinarian.
"In the context of Greek medicine, what did 'holistic' or 'whole person' care assume about the body and mind?","That all aspects were interlinked, meaning passions and emotions directly influenced physical health."
What is the intended ethical outcome of using actors to play patients in modern medical schools?,"To teach students how to communicate difficult ideas, break bad news, and focus on the patient."
Why is 'sympathy' compared to the report of a 'broken crankshaft' in medical critiques?,To illustrate that technical reporting is insufficient without human distress appreciation.
What did Sherwin Nuland define as the 'underpinnings' of the uniquely human relationship between doctor and patient?,The biologically determined human spirit and the inborn capacity to nurture others.
"In the modern version of the Hippocratic Oath, what qualities are said to potentially 'outweigh the surgeon’s knife'?","Warmth, sympathy, and understanding."
How does 'medicalization of life' (Ivan Illich) impact the human focus of healthcare?,"It places all aspects of living under professional medical attendance, potentially dehumanizing normal life events."
What was the 'therapeutic desperation' that led 'old-time GPs' to listen so closely to their patients?,They realized they had little to give except the psychological benefits inherent in the consultation.
"What is the meaning of the Greek word $klin\bar{e}$, from which 'clinical' is derived?","A couch or bed, referring to bedside medicine."
"In clinical ethics, what does the 'moral' person's role signify for the physician's identity according to Christoph Hufeland?",Only a truly moral person can become a physician in the truest sense of the term.
What does the term 'iatrogenic' describe in the context of modern critiques of medicine?,Complaints or conditions that are created by the doctor or the medical system.
How does 'diagnostic creep' affect the way individuals are treated in a market-driven medical system?,"It expands the diagnosis of treatable illnesses, bamboozling individuals into unnecessary lab tests and interventions."
"In the context of clinical empathy, what does 'respectful attention' require of a physician facing a tedious patient?","Listening without interruption, even if the statements seem tiresome or the doctor is exhausted."
What is the 'silent influence of character on character' in the study of medical history?,"The ethical and personal impact one individual's values have on another, as noted by William Osler."
How does the 'reductionist' view in medical science conflict with 'whole-ism'?,"Reductionism focuses on microscopic cells and molecules, often losing sight of the whole reality of a patient’s life."
"According to the source, what is the 'greatest key' to being a good doctor?","Caring for the patient, which involves time, sympathy, and understanding."
What shift in clinical medicine occurred when doctors found it 'no longer necessary to enlist the psychological benefits' of the relationship?,The patient-as-a-person movement fell into desuetude as medicine became more 'awesome' at an organic level.
How did Joe Bizzozero bring about a 'miracle' for William Sloane Coffin where antibiotics failed?,"Through dedicated care that convinced the patient the doctor viewed him as a human being, not just a disease."
What does the 'humanitas' of the Greek physician refer to in clinical ethics?,The nucleus of moral philosophy that equates medical help with the advantage of the patient as a fellow human.
"According to the Cambridge History, what is the 'irony' of post-modern medicine?","Doctors are more effective against organic disease than ever, yet they often stop giving patients what they want: human contact."
"In the context of clinical ethics, what does 'deontological' mean?",Concepts arising from a sense of duty and doing things because they are inherently right.
Why is 'history-taking' described as a 'key theme' in the patient-as-a-person movement?,It provides the doctor the chance to establish an emotional rapport with the patient.
What 'common root' do the words 'holiness' and 'healing' share?,The idea of wholeness (making whole).
How does the 'flight from science' relate to the loss of empathy in medicine?,Public suspicion of technology grows when it is seen as antithetical to human values and the individual sufferer.
What is the primary aim of 'complementary medicine' in relation to standard medical science?,"To retain a scientific approach while recognizing that science alone does not answer all medical needs, such as human wishes."
Francis Weld Peabody argued that the treatment of 'functional' disorders depends almost wholly on what?,The establishment of intimate personal contact between the physician and the patient.
What role does the 'human spirit' play in Nuland's view of the future of medical caring?,It is an eternal foundation that ensures the nurturing relationship between doctor and patient will never vanish.
"What does the phrase 'Primum non nocere' (First, do no harm) imply about clinical intervention?",That the physician should support Nature and intervene minimally to avoid causing more harm to the patient.
How did the ancient 'theurgy' of Aesculapius contrast with Hippocratic 'rational' medicine regarding empathy?,"Theurgy attributed disease to unknowable supernatural forces, while Hippocratic medicine sought discoverable natural causes in the patient."
What did the 'patient-as-a-person' movement suggest about the physician's own personality?,That the personality of the doctor acts as the 'therapeutic agent' upon the personality of the patient.
"In modern clinical ethics, why is 'breaking bad news' considered a priority in training?",To shift the focus of the consultation back to the patient rather than the illness.
What is the significance of 'clinical intuition' in Nuland's description of high-tech medicine?,"It involves a sense of what is right for a 'particular patient' at a 'particular time,' balancing science with art."
How did Osler define 'psychotherapy' in his instinctive clinical practice?,"As the humanistic treatment of the patient as a whole person, even without formal study of psychology."
Why is 'listening' to a patient's story considered 'therapeutic' in itself?,It validates the patient's identity as a person and builds the necessary confidence for healing.
What did Ivan Illich call the process where medicine allegedly puts all aspects of living into the hands of doctors?,The medicalization of life.
"According to the source, why do sections of the public 'vote with their feet' for holistic medicine?","Because they see standard medicine as a system where patients are reduced to data points, and seek more 'humane' styles."
