"According to Dr. Francis Weld Peabody, what is the 'secret' to the care of the patient?",The secret is in caring for the patient.
The Greek word for couch or bed from which the terms 'clinical' and 'clinic' are derived is _____.,$\kappa \lambda \iota \nu \eta$ (kline)
What was the primary focus of the Hippocratic 'Coan School' regarding the patient-physician relationship?,The school focused on the whole patient and their environment rather than just the disease.
Contrast the Coan School with the 'Cnidian School' in terms of their approach to the patient.,"The Cnidians focused on the disease and specific organ disturbances, whereas the Coans focused on the patient's holistic state."
"According to the Hippocratic text 'Epidemics', what is the physician's primary duty regarding harm?","To help, or at least to do no harm."
"The Latin translation of the Hippocratic maxim 'First, do no harm' is _____.",Primum non nocere
"In the context of Hippocratic prognosis, how did the clinician's ability to predict outcomes affect the patient relationship?",It built patient confidence and distinguished the trained physician from charlatans.
"William Osler stated that while the good physician treats the disease, the great physician treats _____.",The patient who has the disease.
What is the 'patient-as-a-person' movement in the context of primary care history?,A doctrine emphasizing psychological support and treating the patient as a whole human rather than a medical case.
"According to the Hippocratic Oath, what is the physician's obligation regarding the privacy of a patient's life?",The physician must keep secret whatever they see or hear that ought not to be spoken of abroad.
"Under the Hippocratic Oath, into whose houses does the physician enter and for what purpose?","The physician enters for the benefit of the sick, abstaining from mischief or corruption."
What specific social conduct is forbidden by the Hippocratic Oath during house calls?,"Intentional sexual contact with the bodies of women or men, whether free or slave."
"In modern clinical ethics, 'autonomy' refers to the patient's right to _____.",Make their own choices and actions based on their personal values and beliefs.
Define 'paternalism' within the patient-physician relationship.,The practice of a healthcare professional overriding a patient's wishes for the patient's own perceived benefit.
What are the two primary conditions required for 'informed consent' to be ethically valid?,The consent must be voluntary and it must be informed.
The 'voluntariness' condition of informed consent is violated if the patient is subjected to _____.,Coercion or threats.
"In the 'Four Principles' approach, the principle of 'beneficence' denotes the moral obligation to _____.",Act for the benefit of others.
How does the principle of 'nonmaleficence' differ from 'beneficence'?,"Nonmaleficence is the duty to not inflict harm, while beneficence is the duty to proactively help."
What did Ivan Illich mean by the 'medicalization of life'?,"The tendency of modern medicine to put all aspects of living, such as pregnancy and aging, under medical supervision."
What does the term 'iatrogenic' describe in medical ethics?,Conditions or complaints that are created or caused by the doctor or the medical treatment itself.
How did the rise of scientific medicine in the 19th century change the physical interaction between doctor and patient?,"It introduced physical examination (touch, percussion, palpation), which fortified the psychological bond."
"In the late 20th century, why did many patients feel alienated from their physicians despite better technology?",Doctors were perceived as 'body technicians' focusing on biological mechanisms rather than human spirits.
What is the 'Samaritan interpretation' of Kant’s categorical imperative in healthcare?,"The obligation to actively further the ends of others, particularly when in a helping interaction."
Define 'soft paternalism' in a clinical setting.,"Intervention when a patient's autonomy is compromised, such as when they are severely addicted or senile."
Define 'hard paternalism' in a clinical setting.,"Intervention that overrides the clear, voluntary, and autonomous wishes of a patient."
Why is the power asymmetry between doctor and patient significant for informed consent?,The doctor's superior knowledge and authority can be used to subtly persuade or manipulate patient agreement.
How does 'explicit dissent' relate to the concept of consent?,It is a subset of lack of consent where the patient actively communicates a refusal of treatment.
What is the 'life-saving ethos' in healthcare ethics?,The specific professional standard and orientation toward preserving life and curing disease.
"In U.S. jurisprudence, when does a doctor acquire a legal 'duty of care' to a stranger in a restaurant?",Only once the doctor voluntarily decides to assist or come to their aid.
The ethical principle that 'like cases should be treated alike' refers to _____.,Justice
"According to Sherwin Nuland, what is the 'eternal foundation' of the relationship between doctor and patient?","The nurturing capacity of one person to help another, driven by the human spirit."
How did Hippocratic physicians view the role of the patient in their own recovery?,The patient was seen as an active member of the therapeutic team who must join the doctor in combating disease.
What is the 'epistemic condition' of valid consent?,The requirement that the patient has been provided with all relevant information regarding risks and benefits.
How can consent practices be misused by healthcare professionals to avoid responsibility?,By using them as a shield to shift the burden of difficult decisions onto the patient.
What was the significance of the Fourth Lateran Council (1215) for the doctor-patient relationship?,"It forbade clerics from surgery, creating a division where physicians treated the body and priests treated the soul."
