What is the primary definition of 'Global Health Diplomacy'?,Multilevel and multi-actor processes that shape and manage the global policy environment for health in both health and non-health forums.
Why is health diplomacy considered central to modern foreign policy?,"Global processes like climate change, pandemics, and unsustainable consumption patterns have made health integral to international relations."
"In 2006, which country became the first to define common objectives for health and foreign policy?",Switzerland
Term: Health in All Policies (HiAP),Definition: An approach to public policy that systematically takes into account the health implications of decisions and avoids harmful health impacts to improve population health and equity.
What were the three specific health goals included in the United Nations Millennium Development Goals (MDGs)?,"Reducing child mortality, improving maternal health, and combating HIV/AIDS, malaria, and other diseases."
What is the primary difference between the MDGs and the Sustainable Development Goals (SDGs) regarding their scope?,"The SDGs are universal, meaning they apply to all countries regardless of development status, whereas the MDGs focused primarily on developing countries."
Sustainable Development Goal _____ is specifically dedicated to ensuring healthy lives and promoting well-being for all at all ages.,3
Which 2015 international agreement acknowledges the 'right to health' in its preamble as a consideration for climate action?,The Paris Agreement
What was the motto of Germany's G7 Presidency in 2015 regarding global health?,"""Think ahead. Act together."""
"According to the German G7 Presidency, which organization is the only one with 'universal political legitimacy' on global health matters?",World Health Organization (WHO)
"The _____ approach involves the human, veterinary, and agricultural sectors working together to address health threats like antimicrobial resistance (AMR).",One Health
Which two professional worlds primarily meet at the interface of health diplomacy?,Public health professionals and diplomats.
"What is the 'lingua franca' of city health diplomacy, used to facilitate strong bonds and alliances?",Health (as a universal language of well-being).
Article _____ of the Lisbon Treaty provides the legal basis for ensuring a high level of human health protection in all European Union policies.,168
What is 'City Health Diplomacy'?,"A paradigm where cities build alliances with various partners to address challenges like urbanization, ageing populations, and climate change."
The South-eastern Europe Health Network (SEEHN) emphasizes health as a 'bridge for _____' in post-conflict recovery.,peace
What was the significance of the 2010 polio outbreak in Central Asia for health diplomacy?,It served as a practical demonstration of using health diplomacy principles to coordinate a regional response to a public health crisis.
"In the context of Swiss Health Foreign Policy, what does the term 'Client' refer to?",The mandate to serve public health and global health as the primary focus of governmental activity.
Which Swedish initiative aimed to integrate a global dimension into national public administration to ensure coherent development policy?,Policy for Global Development
What are the three main pillars of the Sustainable Development Goals?,"People, planet, and prosperity."
"According to the 2030 Agenda, the 17 SDGs are characterized as being _____, meaning they cannot be separated and must be implemented together.",indivisible
What is the primary objective of the World Health Organization (WHO) as stated in its Constitution?,The attainment by all people of the highest possible level of health.
"In health diplomacy negotiations, what is 'framing'?","The way a health issue is positioned politically (e.g., as a security threat or a human right) to influence the diplomatic process."
Which global network focuses on promoting health and equity through local policy and practice in urban settings?,WHO European Healthy Cities Network
The Global Health Security Agenda (GHSA) is an example of _____ to ensure better health outcomes through multi-country collaboration.,alliance-building
"In the Swiss model, which 'C' keyword describes the ability to define a consolidated national position to be a credible international partner?",Convergence
What is the role of a WHO 'Country Cooperation Strategy' (CCS)?,A medium-term partnership framework that defines strategic priorities for WHO's collaboration with a specific Member State.
"Which regional organization in Eurasia addresses health as an impediment to trade, security, and economic growth?",Asia-Pacific Economic Cooperation (APEC)
What concept suggests that societies can only be truly healthy if they are equitable?,The spirit level principle
Term: Unilateralism in health policy,"Definition: The practice of a state acting alone without international cooperation, which the text identifies as ineffective for global health challenges."
Which country championed the inclusion of health as a standalone goal in the SDGs through the 'health-and-well-being' line?,Sweden
What is the 'Global Health Capital' where many participants of health diplomacy training follow negotiations first-hand?,"Geneva, Switzerland"
How does the text define 'Health Security' in the context of diplomacy?,"The prevention of and response to cross-border threats to health, often discussed in high-level political forums like the G7 and G20."
"In Central Asia, what is a major driver for the necessity of regional health diplomacy regarding disease control?",Large intraregional migration flows.
The _____ is a legally binding multilateral instrument that serves as the primary forum for negotiating the global response to climate change.,United Nations Framework Convention on Climate Change (UNFCCC)
What is the 'silo syndrome' in city administration?,"A lack of communication and coordination between different departments, which city health diplomacy aims to counteract."
Which organization adopted the 'Geneva Declaration on Better Health' in 2015 to outline principles for regional health cooperation?,Economic Cooperation Organization (ECO)
What does 'Universal Health Coverage' (UHC) involve?,Ensuring all people have access to needed health services of sufficient quality without suffering financial hardship.
How does Turkmenistan view its 'Positive Neutrality' in the context of health?,"As a tool to promote stability, regional cooperation, and humanitarian assistance."
Which training institution pioneered executive courses on global health diplomacy in Europe starting in 2008?,The Global Health Centre at the Graduate Institute of International and Development Studies.
The 'One Health' approach is particularly vital in the global fight against _____.,Antimicrobial Resistance (AMR)
What is the goal of 'Science Diplomacy' as mentioned in the text?,Using scientific and research-based collaborations to address common problems and build international partnerships.
"In health diplomacy, what is the 'moral imperative' cited by the WHO Director-General?","The ethical obligation to ensure health as a pillar of security, peace, and prosperity for all."
"According to the Paris Agreement, countries are asked to report their 'nationally determined contributions' every _____ years.",five
What is 'Internal City Health Diplomacy'?,Building alliances for health within a city's own administration across different sectors.
Which regional bloc in Eurasia uses the 'coordinating body of national chief sanitary doctors' to address health?,Eurasian Economic Union (EAEU)
"In the context of the SDGs, what does 'Leaving no one behind' mean?",A core principle ensuring that development progress reaches the most vulnerable and marginalized populations first.
What is the 'New Silk Road' (Belt and Road Initiative) context for health diplomacy?,A vast infrastructure undertaking where health is used as a diplomatic tool for connecting and engaging countries along trade routes.
The _____ is the biennial collaborative agreement used by the WHO Regional Office for Europe to guide work with host countries.,BCA
How does health diplomacy contribute to 'Peace and Security'?,By providing a neutral platform for dialogue and using health cooperation as a bridge between conflicting parties.
Which group of countries made joint statements for the first time at the WHO Regional Committee for Europe after receiving diplomacy training?,SEEHN (South-eastern Europe Health Network) countries.
What is the 'Global Action Plan' (GAP) for Healthy Lives and Well-being?,An initiative involving multiple UN agencies to support countries in accelerating progress toward the health-related SDGs.
"In health diplomacy, why is 'Analytical Skill' necessary?",To understand the complex interfaces between different levels of governance and the impact of non-health sectors on health outcomes.
What is the significance of the 2026 Chairmanship of the Commonwealth of Independent States (CIS) for health?,The year 2026 has been designated as the 'Year of Health' under the CIS chairmanship.
What is 'Digital Diplomacy'?,The use of the Internet and new information communication technologies to achieve diplomatic objectives.
Why is the recruitment and retention of a health workforce a key target in SDG 3?,To ensure health systems in developing countries have the capacity to deliver quality care and achieve UHC.
What is the 'Pandemic Agreement' adopted at the 77th World Health Assembly?,A multilateral instrument showing that international cooperation still works to address global health crises.
Concept: Humanitarian Diplomacy,"Definition: Negotiating to ensure the protection and health needs of refugees, migrants, and populations in conflict areas."
"The _____ framework at WHO governs engagement with NGOs, private sector entities, and philanthropic foundations.",FENSA (Framework of Engagement with Non-State Actors)
