"According to the WHO Constitution, what standard of health is every human being entitled to?",The highest attainable standard of physical and mental health.
"The principle that the right to health is inextricably linked to rights like education, housing, and work is known as _____.",Indivisibility
What is the legal status of the right to health in countries that have ratified international human rights treaties?,It is a legally binding commitment.
Term: Human Rights-Based Approach (HRBA) to health,"Definition: A framework requiring health systems to be rights-compliant, gender-transformative, accountable, and integrated."
"In the context of the right to health, what is the difference between 'freedoms' and 'entitlements'?","Freedoms involve bodily autonomy (e.g., reproductive rights), while entitlements involve non-discriminatory access to quality health services."
How does Universal Health Coverage (UHC) contribute to the realization of the right to health?,"By ensuring all people have affordable, equitable access to health services grounded in primary health care."
"What are the four essential, interrelated core components of the right to health?","Availability, Accessibility, Acceptability, and Quality (AAAQ)."
Component: Availability,"Definition: The requirement for a sufficient quantity of functioning health facilities, goods, and services for the entire population."
What are the four dimensions of health 'Accessibility' defined by WHO?,"Non-discrimination, physical accessibility, economic accessibility (affordability), and information accessibility."
"Which dimension of accessibility ensures that health information is provided in formats usable by all, including persons with disabilities?",Information accessibility
The requirement that health facilities and services respect medical ethics and be culturally appropriate is known as _____.,Acceptability
"In the AAAQ framework, what is the definition of 'Quality'?","Health facilities, goods, and services must be scientifically and medically approved and respond to individual needs."
Attribute of Quality: Safe,Definition: Health services that avoid injuries to the people for whom the care is intended.
Attribute of Quality: Effective,Definition: Providing evidence-based services to those who need them.
Attribute of Quality: Timely,Definition: Reducing waiting times and harmful delays in care.
Attribute of Quality: Efficient,Definition: Maximizing the benefit of available resources and avoiding waste.
Attribute of Quality: Equitable,"Definition: Providing care that does not vary in quality due to age, gender, ethnicity, or socio-economic status."
What is the ethical purpose of using 'Intersectionality' as a lens in health policy?,"To examine how multiple grounds of exclusion (e.g., race, gender, disability) drive complex health inequalities."
"Under the principle of 'Progressive Realization', what is a country's legal obligation regarding health resources?",They must use the maximum available resources to implement rights-based legislation and programs.
Which human rights principle requires prioritizing the needs of those furthest behind to achieve health equity?,Non-discrimination and equality
"What role do United Nations human rights mechanisms, such as the Committee on Economic, Social and Cultural Rights, play in global health?",They serve as accountability mechanisms by regularly reviewing country compliance with health-related obligations.
"Why is the regulation of non-State actors, like the private sector, necessary for human rights in health?","To ensure they respect and protect rights, such as through bans on tobacco advertising to protect public health."
