"In the context of philosophical inquiry, what distinguishes a 'practical' question from a 'theoretical' one?","Practical questions concern deciding what to do, whereas theoretical questions concern the nature of existence or knowledge."
"The branch of ethics that investigates the meaning, nature, and linguistic status of moral judgments is known as _____.",Meta-ethics
What is the primary focus of 'Normative Ethics'?,It develops and evaluates theories that determine which actions are right or wrong and why.
Term: Cognitivism,Definition: The meta-ethical view that moral judgments are expressions of belief that can be objectively true or false.
Term: Non-cognitivism,"Definition: The meta-ethical view that moral statements do not express beliefs but rather attitudes or desires, and thus cannot be true or false."
How does 'Cultural Relativism' differ from 'Moral Relativism'?,"Cultural relativism is a descriptive claim about existing diversity in beliefs, while moral relativism is a normative claim that no universal moral truths exist."
"In the 'Euthyphro Dilemma', what is the problem with claiming that an action is right solely because God approves of it?",It makes morality appear arbitrary and contingent upon the changing approval of a deity.
What is the core directive of 'Strong Ethical Egoism'?,It asserts that every individual ought to act exclusively in their own self-interest.
The principle that one should be free to act as they wish provided they do not infringe upon others is often called the _____.,Liberal Principle (or Harm Principle)
"According to Immanuel Kant's 'Formula of Humanity', what is the prohibited way to treat a person?",Treating a person merely as a means to an end rather than as an end in themselves.
"In Kantian deontology, what defines 'treating someone as a mere means'?","Interacting with someone in a way to which they could not, in principle, consent, such as through coercion or deception."
What is the difference between a 'negative duty' and a 'positive duty'?,"A negative duty requires abstaining from an action (non-interference), while a positive duty requires performing an action (assistance)."
The ethical principle that moral requirements are only valid if the agent is physically and mentally capable of fulfilling them is summarized by the phrase '_____'.,Ought implies can
What is the fundamental goal of 'Utilitarianism'?,"To maximize universal utility, often defined as the greatest balance of pleasure over pain for the greatest number of beings."
Term: Consequentialism,Definition: A class of normative ethical theories holding that the consequences of one's conduct are the ultimate basis for any judgment about the rightness or wrongness of that conduct.
Why is the 'impartiality' of utilitarianism considered radical?,It requires the agent to give exactly the same weight to the interests of strangers as they do to themselves or their loved ones.
"In ethics, the 'naturalistic fallacy' refers to the error of deriving a _____ conclusion directly from purely descriptive premises.",Normative (or moral)
Which historical school of thought recommended 'soaring above worldly passions' to avoid disappointment?,Stoicism
What was the primary aim of 'Epicurean' philosophy regarding the management of pain?,Devising 'damage limitation' through a simple life to curb exposure to self-inflicted agonies.
