"According to Erwin Ackerknecht, what historical shift is termed 'Medicine's Declaration of Independence'?","The Hippocratic shift from supernatural/divine explanations of disease to natural, rational causes."
"In the context of the philosophy of science, how does the Coan school (Hippocratic) differ from the Cnidian school regarding the focus of medicine?","The Coan school focuses on the whole patient and their environment, whereas the Cnidian school focuses on specific organ pathology and disease classification."
What is the primary distinction between 'empirical questions' and 'ethical questions' in healthcare?,"Empirical questions can be settled by science and observation, while ethical questions are normative and deal with values or what 'ought' to be done."
Term: Meta-ethics,"Definition: The study of the meaning, nature, and origins of ethical judgments rather than specific moral actions."
Term: Normative Ethics,Definition: The branch of philosophy that develops theories and principles to determine which actions are morally right or wrong.
What is the 'Naturalistic Fallacy' in moral philosophy?,The erroneous attempt to derive a normative conclusion (what ought to be) directly from a descriptive premise (what is).
How does 'Cognitivism' define the nature of moral statements?,It posits that moral statements express propositions that can be objectively true or false.
How does 'Non-cognitivism' interpret a statement like 'Torture is wrong'?,It views the statement as an expression of the speaker's disapproval or attitude rather than a factual claim.
Concept: The Humanity Formula,"Definition: Immanuel Kant's principle that one should never treat humanity merely as a means to an end, but always as an end in itself."
What is the difference between treating someone as a 'means' versus a 'mere means' in Kantian ethics?,"Treating someone as a means involves interaction for a goal, while 'mere means' implies using them without their autonomous consent or in a way incompatible with their own ends."
What is the core principle of 'Utilitarianism'?,Actions are right if they maximize overall happiness or 'utility' and minimize suffering for the greatest number.
Term: Consequentialism,Definition: A broad category of normative ethical theories that judge the morality of an action based solely on its outcomes or consequences.
The ethical principle of 'Non-maleficence' is captured by which Latin phrase?,"$Primum\ non\ nocere$ (First, do no harm)."
What does the principle of 'Beneficence' require of a healthcare professional?,A positive moral obligation to act for the benefit of others and contribute to their welfare.
Term: Autonomy,Definition: The moral right of a patient to make their own choices and hold their own views based on their personal values.
What is the 'Justice' principle in the 'Four Principles' approach to medical ethics?,The requirement that equals be treated equally and that healthcare resources be distributed fairly.
Concept: Ought implies Can,Definition: The principle that a person can only be morally obligated to perform an action if it is physically or logically possible for them to do so.
"In moral philosophy, what is the 'Euthyphro Dilemma'?","The question of whether the 'holy' is loved by gods because it is holy, or if it is holy simply because it is loved by gods."
What was Galen's 'teleological' view of anatomy?,"The belief that every part of the body was perfectly designed by a Creator for a specific, predetermined purpose."
How did the rise of 'reductionism' in the $19^{th}$ century change the scientific model of disease?,"It shifted the focus from the whole patient to microscopic sites, such as cells and molecules, as the primary locus of pathology."
What is the 'Divine Command Theory' of ethics?,The meta-ethical view that morality is ultimately grounded in and determined by the commands of a deity.
How does 'Moral Relativism' define the truth of moral judgments?,It claims that moral truths are not universal but are relative to the traditions or beliefs of a specific society or culture.
Term: Paternalism,Definition: Overriding a patient's autonomous wishes or choices for the sake of their own supposed 'best interest'.
What is the 'Special Responsibility' or 'Duty of Care' associated with medical professionals?,"The ethical obligation to provide life-saving skills to those in need, often regardless of whether the professional is officially 'on duty'."
How does 'Deontology' differ from 'Utilitarianism' in its approach to moral rules?,"Deontology focuses on the inherent rightness of following duties and rules, whereas Utilitarianism focuses on the consequences of actions."
"In the context of medical history, what did 'Theurgy' represent?","A system of healing based on divine intervention, miracles, and the agency of gods (e.g., the cult of Aesculapius)."
What is 'Epistemic Asymmetry' in the doctor-patient relationship?,The imbalance of specialized knowledge and power where the doctor possesses medical expertise the patient lacks.
"According to Sherwin Nuland, what makes medicine an 'Art' rather than a pure 'Science'?","The necessity of 'judgment,' which is difficult, unsteady, and often lacks the certainty provided by statistics or laws."
What is the 'Liberal Imperative' interpretation of Kantian ethics?,"The negative duty to simply refrain from using others as 'mere means,' allowing for non-interference in their lives."
How does 'Hedonistic Utilitarianism' measure the value of an action?,By calculating the net balance of pleasure produced versus pain avoided.
Term: Descriptive Statement,"Definition: A neutral account of the way the world happens to be, without expressing a value preference."
Term: Normative Statement,Definition: An account expressing a value preference or a norm regarding how the world 'should' be.
Why does the 'Ought implies Can' principle make a 'Right to Health' philosophically problematic?,"Because health is often determined by biological factors outside human control, making it impossible to guarantee as a right."
"In moral epistemology, what is a 'Particular Moral Judgment'?",A judgment focused on a specific historical or fictional event rather than a general category of actions.
What is the 'Samaritan Imperative' interpretation of the Humanity Formula?,The positive duty to actively perform actions that are beneficial to the ends of others.
What is the 'Categorical Imperative'?,Immanuel Kant's foundational moral law that provides a single formula for determining all ethical duties.
"In medical ethics, what does 'Informed Consent' serve to protect?",The patient's autonomy and their right to decide what happens to their own body.
How did the Coan school view the role of 'Nature' in healing?,"Nature was seen as a formative, constructive power; the body tends to heal itself, and the physician's role is to facilitate this."
Concept: Epistemological Level,Definition: The level of inquiry concerned with how we *know* whether a moral judgment is true or false.
Concept: Ontological Level,Definition: The level of inquiry concerned with what moral truths *are* and whether they exist independently of human minds.
What is 'Ethical Egoism'?,The normative theory that individuals should always act in their own self-interest.
How does 'Holism' in medicine differ from 'Reductionism'?,"Holism treats the patient as a complex whole including social and mental factors, while reductionism breaks disease down into physical components."
"In the context of scientific trials, why is 'Randomization' an ethical issue?",It potentially conflicts with the doctor's duty to provide the 'best' individual care by assigning treatment based on statistical needs.
What is 'Deterministic' philosophy's challenge to moral responsibility?,"If every action is causally determined by prior events, it is unclear if individuals can be held 'responsible' for their choices."
Why did Hippocratic physicians emphasize 'Prognosis'?,As a pragmatic tool to build a reputation for skill and distinguish themselves from charlatans in a marketplace without licensing.
What is a 'Double-blind' research protocol?,An experimental setup where neither the investigators nor the subjects know who is receiving the test drug versus a placebo.
Term: Deontological Concept,Definition: A concept based on a sense of duty or the obligation to do what is 'right' regardless of the outcome.
How does 'Objective' truth differ from 'Subjective' truth in ethics?,"Objective truth is independent of individual beliefs or attitudes, whereas subjective truth depends on the speaker's perspective."
What is 'Proportionality' in ethical decision-making?,"The weighing of different values or harms to find a balance, such as sacrificing a minority's liberty for a majority's safety during a quarantine."
"In Di Nucci's view, why is 'Reason' the ultimate tool for assessing moral theories?",Because it allows us to transcend mere personal intuition and check for logical consistency and justification.
What is the 'Medical Model' mentioned in the text?,A scientific framework for disease that assumes objective laws of causation similar to the physical sciences.
What is the 'Social Contract' implied in medical training?,The professional accepts the 'burden' of special responsibility and duty of care in exchange for specialized knowledge and societal status.
"In Hippocratic theory, what is 'Pepsis' (or coction)?","The process by which the body's 'innate heat' cooks raw, noxious humors into a form that can be expelled."
What moral concern arises when medicine is treated as a 'Service Industry'?,"The focus may shift from healing the sick to fulfilling the 'fantasies' of clients, such as cosmetic remodeling."
How does the 'Tragedy of the Commons' apply to healthcare resource distribution?,Individual demands for the 'highest attainable' care may deplete a collective resource that is inherently scarce.
Concept: Negative Duty,"Definition: An obligation to *refrain* from performing certain actions (e.g., the duty not to kill)."
Concept: Positive Duty,"Definition: An obligation to *actively perform* certain actions (e.g., the duty to provide care)."
Why is 'Confidentiality' a cornerstone of Hippocratic ethics?,It protects the sanctity of the doctor-patient relationship and ensures that patients feel safe disclosing private information.
What is 'Therapeutic Nihilism' as mentioned in the modern Hippocratic Oath?,The belief that medical treatment is useless and that diseases should just run their natural course without intervention.
What 'Paradox' is associated with Galen of Pergamon?,"He was both the originator of experimental medical investigation and the authority whose dogmatism hindered scientific progress for $1,500$ years."
